"","Part_ID","Survey_Duration.sec.","StartDate","Semester","Demo.Age","Coded.Race..0...White..1...Non.white.","Race","Coded.Sex..0...male..1...female.","Sex","Sound_Weedeater","Sound_CantTell","Sound_Phone","Sound_LeafBlower","PhoneSound_Similar","Phone_location_1","Phone_location_2","Phone_location_3","Phone_location_4","Phone_location_5","Phone_Body_Percent","NotifyMostTime","Notify_Texts","Number_Texts","SAPS_Ave","SAPS_Med_Split","SAPS_MedSplit_Coded","MAAS_Ave","MAAS_Med_Split","MAAS_MedSplit_Coded","P3_ComSq_Pz","P3_ComPh_Pz","P3_RareSq_Pz","P3_RarePh_Pz","P3_ComSq_Fz","P3_ComPh_Fz","P3_RareSq_Fz","P3_RarePh_Fz","P3_ComSq_Cz","P3_ComPh_Cz","P3_RareSq_Cz","P3_RarePh_Cz","P2_ComSq_Pz","P2_ComPh_Pz","P2_RareSq_Pz","P2_RarePh_Pz","P2_ComSq_Fz","P2_ComPh_Fz","P2_RareSq_Fz","P2_RarePh_Fz","P2_ComSq_Cz","P2_ComPh_Cz","P2_RareSq_Cz","P2_RarePh_Cz","N2_ComSq_Pz","N2_ComPh_Pz","N2_RareSq_Pz","N2_RarePh_Pz","N2_ComSq_Fz","N2_ComPh_Fz","N2_RareSq_Fz","N2_RarePh_Fz","N2_ComSq_Cz","N2_ComPh_Cz","N2_RareSq_Cz","N2_RarePh_Cz","N2_ComSq_FzCz","N2_ComPh_FzCz","N2_RareSq_FzCz","N2_RarePh_FzCz","N2_ComSq_F3","N2_ComPh_F3","N2_RareSq_F3","N2_RarePh_F3","phoddball_N2_Cz","phoddball_N2_Fz","phoddball_N2_Pz","sqoddball_N2_Cz","sqoddball_N2_Fz","sqoddball_N2_Pz","phoddball_P2_Cz","phoddball_P2_Fz","phoddball_P2_Pz","sqoddball_P2_Cz","sqoddball_P2_Fz","sqoddball_P2_Pz","phoddball_P3_Cz","phoddball_P3_Fz","phoddball_P3_Pz","sqoddball_P3_Cz","sqoddball_P3_Fz","sqoddball_P3_Pz","phoddball_N2_FzCz","sqoddball_N2_FzCz","phoddball_N2_F3","sqoddball_N2_F3","ComAve_PhSq_N2_Cz","ComAve_PhSq_N2_Fz","ComAve_PhSq_N2_F3","ComAve_PhSq_N2_Pz","ComAve_PhSq_N2_FzCz","RareAve_PhSq_N2_Cz","RareAve_PhSq_N2_Fz","RareAve_PhSq_N2_F3","RareAve_PhSq_N2_Pz","RareAve_PhSq_N2_FzCz","Total_Oddball_PhSq_N2_Cz","Total_Oddball_PhSq_N2_Fz","Total_Oddball_PhSq_N2_Pz","Total_Oddball_PhSq_N2_FzCz","ComAve_PhSq_P2_Cz","ComAve_PhSq_P2_Fz","ComAve_PhSq_P2_Pz","RareAve_PhSq_P2_Cz","RareAve_PhSq_P2_Fz","RareAve_PhSq_P2_Pz","Total_Oddball_PhSq_P2_Cz","Total_Oddball_PhSq_P2_Fz","Total_Oddball_PhSq_P2_Pz","ComAve_PhSq_P3_Cz","ComAve_PhSq_P3_Fz","ComAve_PhSq_P3_Pz","RareAve_PhSq_P3_Cz","RareAve_PhSq_P3_Fz","RareAve_PhSq_P3_Pz","Total_Oddball_PhSq_P3_Cz","Total_Oddball_PhSq_P3_Fz","Total_Oddball_PhSq_P3_Pz","ComRareAve_Ph_P3_Cz","ComRareAve_Ph_P3_Fz","ComRareAve_Ph_P3_Pz","ComRareAve_Ph_N2_Cz","ComRareAve_Ph_N2_Fz","ComRareAve_Ph_N2_F3","ComRareAve_Ph_N2_Pz","ComRareAve_Ph_N2_FzCz","ComRareAve_Ph_P2_Cz","ComRareAve_Ph_P2_Fz","ComRareAve_Ph_P2_Pz","ComRareAve_Sq_P3_Cz","ComRareAve_Sq_P3_Fz","ComRareAve_Sq_P3_Pz","ComRareAve_Sq_N2_Cz","ComRareAve_Sq_N2_Fz","ComRareAve_Sq_N2_F3","ComRareAve_Sq_N2_Pz","ComRareAve_Sq_N2_FzCz","ComRareAve_Sq_P2_Cz","ComRareAve_Sq_P2_Fz","ComRareAve_Sq_P2_Pz","N2_Cz_PhConAve","N2_Fz_PhConAve","N2_F3_PhConAve","N2_Pz_PhConAve","N2_FzCz_PhConAve","P2_Cz_PhConAve","P2_Fz_PhConAve","P2_Pz_PhConAve","P3_Cz_PhConAve","P3_Fz_PhConAve","P3_Pz_PhConAve"
"1","TECH4000",825,"10/21/18 16:18","Fall2018",18,0,"White",0,"Male","Weedeater","Cant Tell","Phone","Cant Tell","Nearly the same","Pocket","Hand","Surface","Backpack","Else",95,"Vibration","Vibration",43,2.266666667,"High",1,3.533333333,"High",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","TECH4001",1332,"10/22/18 9:02","Fall2018",19,0,"White",0,"Male","Weedeater","Phone","Phone","Leafblower","Somwehwat similar","Hand","Surface","Pocket","Backpack","Else",50,"Vibration","Vibration",2,1.8,"Low",0,3.533333333,"High",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","TECH4002",1183,"10/23/18 13:50","Fall2018",18,0,"White",0,"Male","Cant Tell","Cant Tell","Phone","Cant Tell","Somwehwat similar","Pocket","Hand","Surface","Backpack","Else",95,"Vibration","Vibration",100,2.2,"High",1,3.8,"High",1,9.483,10.941,9.381,8.241,3.889,4.176,-0.289,2.622,10.421,11.479,8.342,12.365,5.769,6.599,7.384,6.091,8.188,7.618,6.915,11.33,8.759,9.293,9.404,11.77,6.896,7.579,8.296,7.855,1.728,0.652,-1.067,1.242,6.813,6.506,3.86,6.343,4.2705,3.579,1.3965,3.7925,2.744,1.356,0.282,2.835,-0.163,0.59,0.276000000000001,-2.953,-2.795,1.4,2.477,3.712,-0.508,0.645,-1.273,1.615,0.886000000000001,-1.554,-2.7,-2.079,-4.178,-0.102,0.2135,-2.874,1.479,-2.462,6.6595,1.19,2.05,7.2375,3.92475,5.1015,0.0875,1.5585,8.0755,2.5945,-1.558,-1.1025,0.838,-1.33025,9.026,7.903,6.184,10.587,9.1225,6.7375,1.561,1.2195,0.553500000000001,10.95,4.0325,10.212,10.3535,1.1665,8.811,-0.596499999999999,-2.866,-1.401,11.922,3.399,9.591,6.4245,0.947,2.0955,7.717,3.68575,10.5315,9.474,6.345,9.3815,1.8,9.432,5.3365,0.3305,1.513,7.596,2.8335,9.0815,7.5515,6.5765,5.8805,0.63875,1.80425,7.6565,3.259625,9.8065,8.51275,6.46075,10.65175,2.5995,9.5115
"4","TECH4003",546,"10/24/18 11:55","Fall2018",19,0,"White",1,"Female","Cant Tell","Phone","Phone","Cant Tell","Not at all","Pocket","Hand","Surface","Backpack","Else",63,"Silent","Silent",150,2.4,"High",1,3.333333333,"Low",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","TECH4005",1037,"10/28/18 13:00","Fall2018",19,0,"White",0,"Male","Weedeater","Phone","Phone","Leafblower","Somwehwat similar","Hand","Surface","Pocket","Backpack","Else",41,"Vibration","Vibration",15,1.733333333,"Low",0,3.8,"High",1,14.159,13.815,23.524,21.301,2.691,5,11.361,10.505,9.1,10.503,20.678,17.381,5.129,4.407,8.163,6.156,11.307,11.428,15.135,16.366,10.131,9.797,15.664,15.174,2.511,0.473,8.159,4.602,5.276,6.611,9.313,8.502,7.585,8.118,12.386,11.11,6.4305,7.3645,10.8495,9.806,3.498,3.626,7.86,6.077,2.992,1.891,4.129,4.801,4.037,5.648,5.377,4.938,1.749,5.533,3.828,3.034,6.878,5.505,7.486,11.578,8.67,9.365,2.4415,4.419,2.451,4.362,7.8515,5.9435,3.562,1.492,6.8975,11.748,8.9075,6.9685,6.3805,10.32775,3.8965,2.964,4.8885,3.43025,9.964,11.3675,4.768,15.419,15.7505,7.1595,5.455,4.383,2.3915,9.8015,3.8455,13.987,19.0295,10.933,22.4125,9.228,7.0875,8.4255,13.942,7.7525,17.558,9.614,7.5565,4.8515,2.5375,8.58525,12.4855,13.897,5.2815,14.889,7.026,18.8415,9.9855,7.2945,5.679,5.335,8.64,12.8975,13.221,6.646,9.79975,7.4255,5.26525,3.93625,8.612625,12.6915,13.559,5.96375,14.4155,7.38925,18.19975
"6","TECH4006",81724,"10/28/18 13:25","Fall2018",18,1,"Non-White",1,"Female","Cant Tell","Phone","Phone","Leafblower","Nearly the same","Pocket","Hand","Surface","Backpack","Else",53,"Vibration","Vibration",50,2.333333333,"High",1,3.6,"High",1,10.954,11.266,12.376,14.685,7.438,7.903,10.879,12.18,12.277,12.069,16.343,16.663,3.785,3.665,2.482,3.287,4.988,3.892,6.456,6.315,5.379,3.542,6.152,7.095,3.798,3.479,3.576,3.972,0.052,0.472,1.637,2.2,0.921,1.054,2.219,2.045,0.4865,0.763,1.928,2.1225,0.103,1.141,2.435,2.601,0.991,1.728,0.493,1.298,1.585,-0.222,3.553,2.423,-0.378,0.773000000000001,1.468,-1.303,4.594,4.277,3.419,4.066,3.441,1.422,1.3595,1.4415,1.46,2.332,0.9875,0.262,0.622,3.6385,0.62475,2.132,1.9185,2.518,3.774,2.02525,1.1445,1.6565,0.1355,1.4005,4.4605,4.44,3.725,6.6235,6.3855,2.8845,2.163,1.9455,-0.8405,12.173,7.6705,11.11,16.503,11.5295,13.5305,4.33,3.859,2.4205,14.366,10.0415,12.9755,1.5495,1.336,1.871,3.7255,1.44275,5.3185,5.1035,3.476,14.31,9.1585,11.665,1.57,0.8445,1.269,3.687,1.20725,5.7655,5.722,3.1335,1.55975,1.09025,1.57,3.70625,1.325,5.542,5.41275,3.30475,14.338,9.6,12.32025
"7","TECH4007",8290,"10/30/18 11:33","Fall2018",19,0,"White",1,"Female","Cant Tell","Phone","Phone","Cant Tell","Somwehwat similar","Surface","Pocket","Backpack","Hand","Else",29,"Silent","Silent",10,1.6,"Low",0,3.933333333,"High",1,18.221,18.234,11.321,16.288,14.721,14.326,12.08,8.826,20.63,20.385,16.41,15.713,5.595,5.8,3.238,4.773,11.24,10.12,9.794,7.036,12.692,11.71,11.306,7.081,9.975,10.103,5.577,6.825,13.242,13.017,10.511,8.792,16.544,17.004,14.582,12.61,14.893,15.0105,12.5465,10.701,12.85,13.14,11.311,9.057,-4.394,-4.225,-3.278,-1.962,-2.731,-4.398,-4.629,-3.084,-1.027,-1.386,-1.446,-2.357,-4.672,-5.5,-1.946,-4.22,-2.641,-6.9,-4.3095,-2.3465,-4.083,-1.539,16.774,13.1295,12.995,10.039,14.95175,13.596,9.6515,10.184,6.201,11.62375,-3.178,-3.478,-3.838,-3.328,12.201,10.68,5.6975,9.1935,8.415,4.0055,-3.0075,-2.265,-1.692,20.5075,14.5235,18.2275,16.0615,10.453,13.8045,-4.446,-4.0705,-4.423,18.049,11.576,17.261,14.807,10.9045,11.0985,8.464,12.85575,9.3955,8.578,5.2865,18.52,13.4005,14.771,15.563,11.8765,12.0805,7.776,13.71975,11.999,10.517,4.4165,15.185,11.3905,11.5895,8.12,13.28775,10.69725,9.5475,4.8515,18.2845,12.48825,16.016
"8","TECH4008",20378,"10/31/18 6:39","Fall2018",19,0,"White",1,"Female","Cant Tell","Phone","Phone","Cant Tell","Not at all","Hand","Pocket","Backpack","Surface","Else",92,"Silent","Silent",139,1.666666667,"Low",0,3.066666667,"Low",0,11.521,14.35,15.309,17.029,7.662,8.924,8.021,7.798,12.676,15.327,16.037,16.877,5.903,5.766,3.424,6.909,11.172,11.134,10.226,8.214,12.611,12.819,11.661,10.218,8.872,10.968,13.66,9.358,6.617,8.421,7.5,3.121,10.714,13.192,12.74,8.045,8.6655,10.8065,10.12,5.583,5.978,7.972,7.451,3.235,-5.147,-5.3,-1.61,2.026,0.883,4.788,-2.601,-2.92,1.143,-0.950000000000001,-0.946,-2.479,1.55,-1.126,2.679,3.361,0.359000000000001,3.788,-5.2235,1.4545,-4.737,1.473,11.953,7.519,6.975,9.92,9.736,10.3925,5.3105,5.343,11.509,7.8515,-1.5605,-2.2085,1.589,-1.8845,12.715,11.153,5.8345,10.9395,9.22,5.1665,-1.7755,-1.933,-0.668,14.0015,8.293,12.9355,16.457,7.9095,16.169,2.4555,-0.383499999999999,3.2335,16.102,8.361,15.6895,10.6185,5.771,5.6035,10.163,8.19475,11.5185,9.674,6.3375,14.3565,7.8415,13.415,11.727,7.0585,6.7145,11.266,9.39275,12.136,10.699,4.6635,11.17275,6.41475,6.159,10.7145,8.79375,11.82725,10.1865,5.5005,15.22925,8.10125,14.55225
"9","TECH4009",9606,"11/1/18 11:28","Fall2018",19,0,"White",0,"Male","Weedeater","Phone","Phone","Leafblower","Nearly the same","Pocket","Hand","Surface","Else","Backpack",80,"Vibration","Vibration",105,1.6,"Low",0,3.133333333,"Low",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","TECH4010",11837,"11/3/18 9:53","Fall2018",19,1,"Non-White",0,"Male","Weedeater","Phone","Phone","Leafblower","Somwehwat similar","Pocket","Hand","Surface","Backpack","Else",70,"Silent","Silent",300,2.133333333,"High",1,3.266666667,"Low",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
