bin1_ComSq_Pz	bin2_ComPh_Pz	bin3_ComMow_Pz	bin4_RareSq_Pz	bin5_RarePh_Pz	bin6_RareMow_Pz		   ERPset
							
							
9.483	10.941	8.37	9.381	8.241	7.509	TECH4002_ERPs_filt	
							
							
14.159	13.815	15.048	23.524	21.301	17.751	TECH4005_ERPs_filt	
10.954	11.266	10.677	12.376	14.685	16.427	TECH4006_ERPs_filt	
18.221	18.234	19.815	11.321	16.288	18.35	TECH4007_ERPs_filt	
11.521	14.35	11.578	15.309	17.029	13.632	TECH4008_ERPs_filt	
							
							
10.204	10.076	10.266	7.615	9.213	9.794	TECH4011_ERPs_filt	
							
13.458	11.805	11.723	18.027	18.156	9.927	TECH4013_ERPs_filt	
13.885	12.471	12.454	9.984	11.019	13.455	TECH4014_ERPs_filt	
10.009	10.603	9.25	8.941	12.939	8.363	TECH4015_ERPs_filt	
9.938	13.987	12.446	12.224	13.37	14.286	TECH4016_ERPs_filt	
8.566	6.722	8.126	6.584	5.875	9.974	TECH4017_ERPs_filt	
7.033	8.508	9.077	11.081	6.704	6.763	TECH4018_ERPs_filt	
9.265	10.939	10.382	10.476	8.653	11.158	TECH4019_ERPs_filt	
							
11.251	11.771	10.462	14.786	13.697	13.958	TECH4021_ERPs_filt	
10.24	10.81	10.048	15.22	7.471	14.126	TECH4022_ERPs_filt	
							
11.291	12.306	12.562	15.25	10.946	15.755	TECH4024_ERPs_filt	
13.283	12.112	13.708	14.799	14.228	17.277	TECH4025_ERPs_filt	
4.407	4.406	5.267	9.669	4.923	4.621	TECH4026_ERPs_filt	
							
10.03	11.496	11.932	10.977	11.46	10.442	TECH4028_ERPs_filt	
8.786	7.579	8.323	-5.455	10.067	1.058	TECH4029_ERPs_filt	
7.974	9.336	7.896	12.516	10.615	12.055	TECH4030_ERPs_filt	
4.637	3.516	6.458	4.826	3.521	5.444	TECH4031_ERPs_filt	
9.623	9.719	10.532	9.382	6.161	10.277	TECH4032_ERPs_filt	
							
11.074	9.323	9.566	11.489	14.768	12.022	TECH4034_ERPs_filt	
13.803	15.572	15.42	18.724	22.191	21.373	TECH4035_ERPs_filt	
9.176	8.839	8.723	9.365	10.763	5.792	TECH4036_ERPs_filt	
6.694	6.901	7.34	9.468	8.938	8.326	TECH4037_ERPs_filt	
6.528	6.348	6.493	7.605	5.701	10.696	TECH4038_ERPs_filt	
10.379	11.475	9.7	23.463	14.311	12.773	TECH4039_ERPs_filt	
14.699	13.788	15.468	23.08	16.956	18.293	TECH4040_ERPs_filt	
0.172	-0.699	-0.545	-10.013	-5.27	-8.004	TECH4041_ERPs_filt	
							
13.777	13.648	13.506	16.595	13.381	13.315	TECH4043_ERPs_filt	
10.071	9.493	9.892	7.406	13.917	10.363	TECH4044_ERPs_filt	
10.412	11.581	10.126	14.884	8.244	7.908	TECH4045_ERPs_filt	
							
7.7	6.477	7.987	2.331	4.428	2.385	TECH4047_ERPs_filt	
7.67	7.22	9.718	10.221	16.354	7.154	TECH4048_ERPs_filt	
							
6.369	6.443	5.487	8.595	11.216	9.701	TECH4050_ERPs_filt	
							
11.531	12.194	11.622	14.914	14.478	16.34	TECH4052_ERPs_filt	
12.815	15.394	15.348	18.365	21.057	20.427	TECH4053_ERPs_filt	
10.04	10.44	12.236	8.04	9.896	10.548	TECH4054_ERPs_filt	
6.309	5.442	6.465	5.736	2.82	3.443	TECH4055_ERPs_filt	
12.254	12.206	12.145	18.318	18.523	17.457	TECH4056_ERPs_filt	
13.925	12.397	14.012	15.681	18.673	15.385	TECH4057_ERPs_filt	
22.957	23.253	23.909	31.255	27.972	26.907	TECH4058_ERPs_filt	
							
10.455	6.302	8.791	12.35	10.327	14.627	TECH4060_ERPs_filt	
11.66	9.917	12.101	16.141	19.791	12.478	TECH4061_ERPs_filt	
7.877	9.454	8.829	13.181	12.401	10.156	TECH4062_ERPs_filt	
5.708	5.094	4.533	5.12	4.551	4.463	TECH4063_ERPs_filt	
							
16.813	17.538	17.134	18.609	21.934	21.786	TECH4065_ERPs_filt	
4.34	6.148	5.296	2.481	3.483	7.183	TECH4066_ERPs_filt	
							
12.597	11.015	13.228	11.263	12.423	9.76	TECH4068_ERPs_filt	
15.577	15.425	14.361	15.034	13.514	12.124	TECH4069_ERPs_filt	
15.22	15.97	15.436	18.324	15.348	16.015	TECH4070_ERPs_filt	
17.322	15.472	14.708	19.368	16.619	19.248	TECH4071_ERPs_filt	
